gene_symbol,mean_log2_NNK,mean_log2_WT,log2FC,statistic,p.value,p_adj
KRT18P15,4.523029636006892,3.76163574311766,0.7613938928892319,2.322196598599051,0.025286238895471547,0.046030748566048864
NRG4,4.118880803677183,3.262991614356151,0.8558891893210325,2.368188069915973,0.02528984305693565,0.046032411428668485
ZC3H12C,8.821469454316828,8.471256866320164,0.35021258799666377,2.3386009089342155,0.025308553407686417,0.046056667556504546
LINC00338,7.403070895782671,7.901785984138117,-0.4987150883554463,-2.3347358882163416,0.025308216086865284,0.046056667556504546
RP11-1109F11.3,4.793818492505987,5.670888772235242,-0.8770702797292547,-2.3182432100781574,0.02531201782788633,0.046058072856783594
NPIPA1,5.867934679085385,6.472594880208845,-0.6046602011234601,-2.319299860999223,0.025320363350013284,0.0460683586293765
C7orf55-LUC7L2,8.693770467060604,9.064982161287546,-0.37121169422694145,-2.349352937479932,0.02532902134307998,0.04607921066965252
TBC1D4-AS1,3.9646445685670906,2.9343647524148055,1.030279816152285,2.3265941915522137,0.025340331210699937,0.04609488424802281
GPR65,4.530131841860829,5.4164454668233,-0.8863136249624715,-2.3465402622275144,0.025352953354733816,0.046112941313287914
LLPH,4.802490737577737,5.485399856181666,-0.6829091186039289,-2.3464813171464547,0.02536720258897522,0.046130382578958753
CD40,5.432981686313397,4.659369027879457,0.7736126584339402,2.3773166260474032,0.02536793542803624,0.046130382578958753
TYW5,7.788048279127521,8.070302025978751,-0.2822537468512305,-2.3265125218249474,0.025384399202177388,0.04615541519299083
CYB561D2,5.426772216476222,5.121386897028037,0.3053853194481855,2.3297078952995025,0.02538937746341929,0.04615633226627693
CORO2A,4.017887683711646,4.880546801924715,-0.8626591182130685,-2.3167934122724483,0.025390299448090497,0.04615633226627693
RN7SKP9,4.6003062079596555,5.288669923866637,-0.6883637159069815,-2.3302656751755184,0.025420531799852295,0.046206381006361354
RP11-235E17.4,3.6613391835229603,2.9359303397997953,0.7254088437231649,2.3168156119549046,0.025452665996871564,0.046259875690478985
RP11-380M21.4,3.815224098218375,4.606052087790647,-0.79082798957227185,-2.319530894461493,0.02548098629044269,0.04630642802813826
RP11-216L13.19,4.827228767416017,4.3593230280905155,0.4679057393255013,2.3145683474003245,0.02549786474945219,0.046332179514989705
LINC00938,7.1149718712393994,7.601415998455547,-0.4864441272161475,-2.3350757468759595,0.025509275681600923,0.04634799154214407
HMG20B,8.16209052880811,7.750915609557972,0.41117491925013727,2.3126267100636086,0.025609884832269957,0.0465258479038414
RP1-261D10.2,3.829557101145203,3.109189821138031,0.7203672800071721,2.342643176026139,0.0256688923083666,0.046628096157521316
POLR3G,4.174016367484131,4.760075949144329,-0.5860595816601979,-2.3264753797512006,0.025677928780498068,0.04663955893160218
FASTKD5,7.402889642897046,7.140100017347044,0.26278962555000174,2.3197755193206526,0.025711339836960296,0.046695286829163136
FMN1,8.778869188583247,9.523367703742249,-0.7444985151590018,-2.3379256741571446,0.025727126248569158,0.04671899754384048
NECAP2,7.840802749399218,8.119743565119006,-0.27894081571978724,-2.322090309744298,0.025751750602462847,0.046758750722451115
PCF11,10.240666945254862,10.034414806999223,0.20625213825563904,2.3135215047010598,0.025766863377921875,0.04678122664432638
SNX16,7.097436742457761,7.488839321974989,-0.39140257951722823,-2.3199745368646534,0.025811901389170624,0.04685802302270066
THSD4,9.769136410244375,9.146370301834182,0.6227661084101932,2.336918853319051,0.025823060917423535,0.04687330781700603
SLTM,10.699182524519486,10.458065538649187,0.24111698587029906,2.3312434890711105,0.02582896479907959,0.046879050475562664
HCFC1,8.47781596070669,8.775640428011071,-0.2978244673043804,-2.3363740547636147,0.025834006996192,0.04688322814159889
LRRN2,7.129293913269074,6.592734129814761,0.5365597834543134,2.321517160422157,0.02586567547995027,0.046935720843337844
MPZ,3.649689964598087,3.0033579606876857,0.6463320039104015,2.3376585283621187,0.025922030676837116,0.047032994041714855
AGBL5,7.881380032560137,7.565778695537309,0.31560133702282744,2.3303156745383307,0.025942150983310763,0.04706450891012519
MRPL43,7.488881444471141,7.247748729987148,0.2411327144839932,2.3062131765652056,0.02598718734114507,0.04714121525101366
CTD-2286N8.2,3.3256158876735062,3.900806790293723,-0.5751909026202169,-2.3077611765790023,0.025990294558118614,0.04714185319129487
RP11-24B19.3,4.760691239543991,5.180136353098416,-0.41944511355442504,-2.309936934246398,0.026019172464339334,0.04718922956852723
ZNHIT2,4.771857493245354,4.298505359690559,0.473352133554795,2.305522222175691,0.026037844954894016,0.0472180889854067
FAM118B,6.464503609126081,6.705335058487346,-0.24083144936126555,-2.3076811863077524,0.026049732596369567,0.04723463966705782
